movie_id,budget_x,revenue,genre,status,score
3993,28000000,73421224,"Action, Crime, Drama", Released,59
3994,55000000,275391818.8,"Action, Crime, Thriller", Released,80
3995,80400000,411716817.2,Drama, Released,64
3996,130000000,348901032,"Fantasy, Family, Comedy", Released,65
3997,25000000,142033509,"Drama, Romance, War", Released,68
3998,115460000,583546114,"Action, Comedy, Animation", Released,80
3999,78600000,478182728.8,"Science Fiction, Action, Animation, Fantasy", Released,64
4000,63000000,296338663,"Comedy, Crime, Science Fiction", Released,60
4001,41721862.6,1119537,"Horror, Thriller, Fantasy", Released,65
4002,97300000,423147746.8,Drama, Released,44
4003,38000000,58394308,"Mystery, Thriller, Horror", Released,65
4004,75000000,95572749,"Action, Comedy, Thriller, Romance", Released,59
4005,125600000,403087774,"Action, Thriller, Crime", Released,56
4006,50000000,242786137,Comedy, Released,63
4007,160940000,178359863,Thriller, Released,0
4008,37000000,97143987,"Drama, Thriller, Horror", Released,61
4009,21000000,236412453,"Drama, Comedy, Romance", Released,71
4010,30000000,92494381,"Action, Crime", Released,68
4011,30000000,50145607,"Animation, Family, Adventure", Released,69
4012,2000000,2381087,"Drama, Crime", Released,74
4013,25000000,60694737,"Animation, Adventure, Family", Released,65
4014,25000000,119295584,"Horror, Thriller", Released,74
4015,2800000,48577431,"Horror, Thriller", Released,74
4016,91000000,264107107.4,"Action, Adventure, Fantasy", Released,60
4017,93000000,345008293.2,"Animation, Science Fiction, Family", Released,73
4018,85200000,419234293.4,"Horror, Thriller", Released,57
4019,57200000,383014716.6,"Thriller, Horror, Drama", Released,65
4020,30000000,83282296,"Crime, Drama", Released,74
4021,108000000,451155000,"Action, Horror", Released,52
4022,105740523.8,345465556.8,Romance, Released,70
4023,81200000,472749495.2,Drama, Released,72
4024,200000,82379369,"Action, Adventure, Crime, Drama", Released,76
4025,48000000,86607223,"Adventure, Comedy", Released,62
4026,1200000,0,"Action, Crime, Thriller", Released,64
4027,350000,50229173.8,Drama, Released,59
4028,76200000,480720047.2,"Horror, Mystery, Thriller", Released,64
4029,143600000,176140303.6,"Romance, Drama", Released,74
4030,42000000,49621440,"Action, Thriller, Crime", Released,64
4031,15000000,316300000,"Action, Comedy, Crime", Released,72
4032,57600000,997071462.2,"Drama, Action, Crime", Released,73
4033,15000000,51053787,"Animation, Comedy, Family, Crime", Released,62
4034,80000000,182782518,"Fantasy, Action", Released,52
4035,74200000,937727043.8,"Drama, Thriller", Released,48
4036,23667081.4,21832649,"Action, Crime, Drama", Released,62
4037,80000000,54540662,"Animation, Comedy, Family", Released,64
4038,160000000,181674817,"Adventure, Action, Drama, Thriller", Released,58
4039,15000000,55669466,"Horror, Drama, Fantasy", Released,67
4040,18000000,16382538,"Comedy, Romance", Released,59
4041,76400000,674767418.2,"Adventure, Animation, Fantasy", Released,72
4042,2500000,0,"Horror, Science Fiction, Comedy", Released,50
4043,102200000,486305039.4,"Drama, Horror, Thriller", Released,63
4044,37000000,96455697,"Comedy, Fantasy, Romance", Released,67
4045,4000000,30471420,"Adventure, Animation, Fantasy", Released,66
4046,108000000,254948951.2,"Adventure, Animation, Comedy, Drama, Family", Released,67
4047,50000000,113309743,"Comedy, Crime, Drama", Released,56
4048,28000000,195300000,"Adventure, Action, Thriller", Released,65
4049,105800000,362240728.2,"Action, Adventure, Animation, Fantasy, Science Fiction", Released,61
4050,85000000,149044513,"Animation, Comedy, Family", Released,64
4051,67400000,498339542.2,"Animation, Fantasy", Released,74
4052,50000000,152000000,"Drama, Horror", Released,72
4053,151600000,665194474,Drama, Released,50
4054,108800000,348600148.4,"Horror, Science Fiction", Released,54
4055,51270000,365099318.6,"Drama, Comedy", Released,38
4056,25000000,71255003,"Action, Comedy, Thriller, Crime", Released,56
4057,17000000,13851432,"Science Fiction, Action, Thriller", Released,49
4058,16000000,3796077,"Action, Science Fiction, Thriller", Released,54
4059,231940000,175269998.8,"Animation, Action, Crime, Mystery", In Production,0
4060,32000000,16283667,"Drama, Family, Fantasy, Adventure", Released,57
4061,45000000,187995859,"Mystery, Drama, Thriller, Crime, Action", Released,66
4062,46500000,22254,"Science Fiction, Drama, Romance, Fantasy", Released,78
4063,53004639.8,67308282,"Romance, Comedy, Family", Released,68
4064,100000,99000630,Horror, Released,60
4065,143600000,309828687,"Romance, Comedy", Released,69
4066,110800000,327683157.2,"Comedy, Romance", Released,73
4067,23060000.2,35515687,"Family, Animation", Released,60
4068,80000000,6628721,"Adventure, Drama, Romance", Released,68
4069,8000000,17092453,Horror, Released,53
4070,11000000,9170214,"Romance, Drama", Released,77
4071,81000040,169299022.4,"Drama, Romance", Released,16
4072,99000000,250091610,"Comedy, Animation, Family", Released,69
4073,42000000,156167015,"Adventure, Action, Thriller", Released,63
4074,77200000,339156011.4,"Animation, Science Fiction", Released,65
4075,111000000,512397898.8,"Family, Comedy, Drama", Released,72
4076,125000000,515036018.8,"Horror, Thriller, Comedy", Released,70
4077,15000000,22165608,Action, Released,60
4078,45177862.6,1600000,"War, Thriller", Released,66
4079,6000000,18073433,"Comedy, Fantasy, Horror, Thriller", Released,66
4080,39412225.8,44291,"Horror, Drama, Mystery, Science Fiction", Released,64
4081,18000000,40651864,"Drama, Thriller, Science Fiction", Released,55
4082,167400000,997517367.8,Drama, Released,49
4083,2910000,2238600,"Science Fiction, Action, Animation", Released,73
4084,65000000,163527824,"Drama, War", Released,74
4085,7500000,10109659,"Action, Comedy, Science Fiction", Released,57
4086,60000000,90558582,"Family, Comedy, Adventure, Crime", Released,52
4087,181600000,175269998.8,Romance, Released,0
4088,131600000,397057826.8,"Animation, Adventure, Fantasy", Released,74
4089,7500000,4650308.4,"Comedy, Romance", Released,53
4090,80000000,98341932,"Comedy, Science Fiction, Action", Released,61
4091,115500000,365470598,"Comedy, Drama", Released,64
4092,20000000,0,"Science Fiction, Thriller, Mystery, Action, Adventure", Released,53
4093,29800000,7000000,"Science Fiction, Animation, Action", Released,70
4094,69600000,893429202.4,"Romance, Drama, Comedy", Released,69
4095,2500000,11500000,Horror, Released,75
4096,20000000,29170410,"Animation, Fantasy, Action, Science Fiction", Released,61
4097,12000000,47582563,"Horror, Drama, Adventure", Released,57
